app_name, en avan,[Aa]ggiornat|in ritardo|puntual,[Aa]ldi|[Pp]enny|[Nn]etto|[Kk]aufland|[sS]aturn| [Ff]ehlen| [fF]ehlt,[Aa]mbiente|carta |giornalini|spreco|spreca |sprechi|sprecare,[Bb]ons? (de)? réduction|[Cc]oupon,[Cc]artace|[cC]assetta,[Cc]arte |fedelt[àa]|[tT]esser,[Cc]artes?,[Cc]ashback|[Cc]oupon|[Bb]uoni sconto|[Bb]uono sconto,[Cc]onfinement|[Cc]orona,[Cc]orona|[Ll]ockdown,[Ff]iltr|ordina per|ordino per|ordinare per,[Ii]nterattiv,[Ll]istes? des? courses?|[Ll]istes? d?'?achats?|[Ff]avori|[sS]auve,[Mm]ancant|ignorat|manca |mancano,[Mm]anqu,[Nn]otifiche,[Pp]andemia|[Vv]irus|[Cc]orona|[Ll]ockdown,[Pp]apier|[ÉeéE]colo|[Pp]lan[èe]te,[Pp]ubblicit[aà],[Rr]egione|[Pp]rovincia|[rR]oma|[Ll]ocal|[pP]osizione|distanza|zona|chilometr|vicin|due passi da,[Tt]ablette,[Zz]oom,[Zz]oom|[Aa]grandi,[Zz]oom|ingrandi,[bB]o[iî]te|[Cc]ourrier|courriel,[bB]riefkast,[cC]oin|[cC]ashback|[gG]utschein,[kK]arte,[lL]ist|[sS]peichern|[eE]inkaufszettel|[lL]ieblings|[fF]avorit,[nN]otifications,[pP]apier|[uU]mwelt|nachhaltig,[sS]alv[ao]|preferiti|[lL]ista della spesa,[sS]tandort|[nN][aä]he|[sS]t[äa]dt|[pP]ostleitzahl,[tT]ablet,[tT]ablet|[iI][pP]ad,[tT]rop (de)? pubs?|[Tt]rop (de )?publicit[ée]s?|[Bb]ourr[ée]e?s? (de )?pubs?|[Bb]ourr[ée]e?s? (de )?publicit[ée]s?|[Bb]lind[ée]e?s? (de )?pubs?|[Bb]lind[ée]e?s? (de )?publicit[ée]s?|[Cc]ombl[ée]e?s? (des? )?pubs?|[Cc]omblee?s? (des? )?publiticit[ée]s?|pub [àa] (la)? pub|[Rr]emplie?s? (de )?pubs?|[Rr]emplie?s? (de )?publicit[ée]s|pubs? vid[ée]o|pop up,[wW]erbung,[àa] jour,anteprim|anticip,cancella|rimouv|scadut,local|[0-9 ]km|code postal,offline,ritaglio|ritaglia|forbici
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_tiendeo_de/de_tiendeo_de, , ,21, , , , , , , ,0, , , , , , , , , , , ,0, , , ,2,1,2,8, ,8, ,10, ,1, ,21, , , , ,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_tiendeo_de_three_star/de_tiendeo_de_three_star, , ,13, , , , , , , ,0, , , , , , , , , , , ,0, , , ,1,1,1,3, ,1, ,6, ,1, ,14, , , , ,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_weekli/de_weekli, , ,35, , , , , , , ,0, , , , , , , , , , , ,2, , , ,3,1,0,17, ,9, ,5, ,0, ,5, , , , ,1, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_weekli_three_star/de_weekli_three_star, , ,17, , , , , , , ,0, , , , , , , , , , , ,2, , , ,0,0,0,8, ,0, ,3, ,0, ,1, , , , ,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_wunderkauf/de_wunderkauf, , ,26, , , , , , , ,0, , , , , , , , , , , ,1, , , ,2,45,0,7, ,14, ,4, ,0, ,13, , , , ,1, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_wunderkauf_three_star/de_wunderkauf_three_star, , ,16, , , , , , , ,0, , , , , , , , , , , ,1, , , ,0,24,0,3, ,4, ,4, ,0, ,4, , , , ,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_bonial/fr_bonial,29, , , ,3, , ,23, ,6, , , ,61, ,450, , ,525, , ,14, ,13, ,318, , , , ,10, , , , , ,6, ,80, , ,37,1, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_bonial_three_star/fr_bonial_three_star,2, , , ,0, , ,10, ,0, , , ,14, ,189, , ,19, , ,2, ,3, ,20, , , , ,4, , , , , ,2, ,19, , ,19,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_catalogue_actuel/fr_catalogue_actuel,0, , , ,0, , ,0, ,0, , , ,0, ,0, , ,0, , ,0, ,1, ,0, , , , ,0, , , , , ,0, ,1, , ,0,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_catalogue_actuel_three_star/fr_catalogue_actuel_three_star,0, , , ,0, , ,0, ,0, , , ,0, ,0, , ,0, , ,0, ,1, ,0, , , , ,0, , , , , ,0, ,1, , ,0,0, 
